                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7926,                 5.4022,                 4.1852,                 3.6146,                 10.572,                 4.1677,                      0,                      0,                      0,                      0,                 3.7809,                 5.4793,                 4.1286,                 3.6339,                 11.426,                 4.1264,               0.070588,               0.003268,               0.003268
                      2,                 3.8854,                 5.3796,                 4.1539,                 3.6747,                 9.1531,                 4.1196,                      0,                      0,                      0,                      0,                 3.7693,                  5.433,                 4.1114,                 3.6188,                 10.448,                 4.1113,               0.040523,               0.006536,               0.006536
                      3,                 3.7334,                  5.287,                 4.1353,                 3.5469,                 8.4603,                 4.1523,                0.00027,                0.02551,                0.00019,                  4e-05,                 3.7416,                 5.5128,                 4.2383,                 3.5591,                 9.7657,                 4.2265,               0.010392,              0.0097379,              0.0097379
                      4,                 3.8647,                 5.3259,                    4.1,                 3.6527,                 8.1489,                 4.0271,                0.00042,                0.00155,                0.00017,                  4e-05,                 3.8749,                 84.139,                 11.648,                  3.506,                 19.862,                 11.969,               0.009703,               0.009703,               0.009703
                      5,                 3.7894,                 5.1305,                      4,                 3.5805,                  7.559,                 3.9375,                 0.0004,                0.01325,                0.00021,                  5e-05,                 3.9643,                 307.68,                 23.596,                 3.6799,                 65.956,                 25.299,               0.009703,               0.009703,               0.009703
                      6,                 3.7896,                  4.949,                 3.9315,                 3.5613,                 6.8313,                 3.8328,                0.00026,                0.02892,                0.00015,                  4e-05,                 3.8694,                 34.779,                 7.9032,                 3.4824,                 12.389,                 10.304,               0.009604,               0.009604,               0.009604
                      7,                 3.7452,                 4.9549,                  3.801,                 3.4517,                 6.4242,                 3.6597,                0.00031,                0.03771,                0.00019,                  5e-05,                 3.7955,                 9.5083,                  5.273,                 3.7295,                 6.7298,                 5.8338,               0.009505,               0.009505,               0.009505
                      8,                 3.7532,                 4.6429,                  3.695,                 3.5896,                  5.991,                 3.5328,                0.00036,                0.06121,                0.00025,                  7e-05,                 3.6395,                 5.5455,                 4.3593,                 3.4279,                 6.1397,                 4.6403,               0.009406,               0.009406,               0.009406
                      9,                 3.6965,                  4.451,                 3.5872,                 3.4113,                 5.5062,                 3.3686,                0.00046,                0.04431,                0.00033,                  8e-05,                 3.8643,                 5.3553,                 5.0941,                 3.6663,                 6.5094,                 4.8544,               0.009307,               0.009307,               0.009307
                      1,                 3.8766,                 5.5037,                 4.1731,                  3.701,                 11.237,                 4.1315,                      0,                      0,                      0,                      0,                 3.7688,                 5.4633,                  4.133,                  3.613,                  11.17,                 4.1296,               0.070732,               0.003252,               0.003252
                      2,                 3.7577,                 5.3665,                  4.165,                  3.583,                 9.1458,                 4.1874,                      0,                      0,                      0,                      0,                 3.7566,                 5.4203,                 4.1164,                 3.5993,                 10.288,                  4.112,               0.040667,              0.0065202,              0.0065202
                      3,                 3.9527,                 5.3796,                 4.1407,                 3.7291,                 8.6751,                 4.0966,                      0,                      0,                      0,                      0,                 3.7424,                 5.3977,                 4.1038,                 3.5895,                 9.9465,                 4.1025,               0.010535,              0.0097223,              0.0097223
                      4,                 3.8451,                 5.2611,                 4.1391,                 3.6094,                 8.0928,                  4.136,                0.00041,                  0.042,                0.00028,                  7e-05,                 3.6404,                 7.6341,                 5.8867,                 3.6033,                 8.8375,                 8.0749,               0.009703,               0.009703,               0.009703
                      5,                 3.7884,                 5.2368,                 4.0974,                 3.6354,                 7.9675,                 4.1195,                0.00031,                0.02206,                0.00018,                  4e-05,                 3.6601,                  28.95,                 7.8003,                 3.8622,                 38.099,                 11.205,               0.009703,               0.009703,               0.009703
                      6,                 3.7407,                 5.0964,                 4.0325,                 3.5429,                 7.4499,                 4.0002,                0.00027,                0.02003,                0.00015,                  3e-05,                 3.7744,                 107.99,                 8.0396,                  3.749,                 29.234,                 12.287,               0.009604,               0.009604,               0.009604
                      7,                 3.7811,                 4.9407,                 3.9464,                    3.6,                 6.9223,                 3.9065,                 0.0002,                0.03586,                0.00013,                  3e-05,                 3.7044,                 13.924,                 5.8675,                 3.5008,                 7.0043,                 7.5629,               0.009505,               0.009505,               0.009505
                      8,                 3.7082,                 4.7855,                 3.8181,                 3.4505,                 6.4936,                 3.7678,                0.00015,                0.02674,                  9e-05,                  3e-05,                 3.7605,                 7.3339,                  5.917,                 3.5792,                 6.8715,                 6.4819,               0.009406,               0.009406,               0.009406
                      9,                 3.6989,                  4.695,                 3.7323,                 3.3925,                 6.1597,                 3.6538,                0.00025,                0.04651,                0.00015,                  4e-05,                 3.6445,                 6.5477,                 4.3521,                 3.3862,                 13.705,                 4.4245,               0.009307,               0.009307,               0.009307
                     10,                 3.7294,                 4.5034,                 3.6089,                 3.4483,                 5.6736,                 3.4623,                0.00033,                0.05788,                0.00026,                  6e-05,                 3.6898,                 5.0982,                 3.9525,                  3.327,                 6.2105,                 3.8641,               0.009208,               0.009208,               0.009208
                     11,                  3.728,                 4.4478,                 3.5405,                 3.4691,                 5.3949,                 3.3446,                0.00019,                0.04231,                0.00015,                  4e-05,                 3.6334,                 6.0758,                 3.9841,                 3.2792,                 5.8616,                 3.7547,               0.009109,               0.009109,               0.009109
                     12,                 3.6924,                 4.3337,                 3.4692,                 3.4558,                 5.1838,                 3.2318,                0.00045,                0.10214,                 0.0003,                  8e-05,                 3.6387,                 4.9224,                 3.8509,                 3.3733,                 5.9133,                 3.8039,                0.00901,                0.00901,                0.00901
                     13,                 3.7678,                 4.3178,                 3.4482,                 3.4417,                 5.0808,                 3.1526,                0.00027,                0.03097,                0.00017,                  5e-05,                 3.7213,                 5.0615,                 4.0228,                 3.5389,                 6.1029,                 3.9427,               0.008911,               0.008911,               0.008911
